00000228,0100,12.11.2021,12.11.2021
00000228,0100,11.11.2021,11.11.2021
00000228,0100,08.11.2021,08.11.2021
00000228,0100,09.11.2021,09.11.2021
00000228,0100,10.11.2021,10.11.2021
00000228,0500,20.11.2021,20.11.2021
00000228,0500,23.10.2021,23.10.2021
00000228,0500,24.10.2021,24.10.2021
00000228,0500,30.10.2021,30.10.2021
00000228,0500,31.10.2021,31.10.2021
00000228,0500,06.11.2021,06.11.2021
00000228,0500,07.11.2021,07.11.2021
00000228,0500,13.11.2021,13.11.2021
00000228,0500,14.11.2021,14.11.2021
00000232,0300,12.11.2021,12.11.2021
00000232,0500,23.10.2021,23.10.2021
00000232,0500,24.10.2021,24.10.2021
00000232,0500,31.10.2021,31.10.2021
00000232,0500,06.11.2021,06.11.2021
00000232,0500,07.11.2021,07.11.2021
00000232,0500,14.11.2021,14.11.2021
00000232,0500,20.11.2021,20.11.2021
00000232,0100,21.10.2021,21.10.2021
00000232,0100,01.11.2021,01.11.2021
00000255,0100,12.11.2021,12.11.2021
00000255,0100,11.11.2021,11.11.2021
00000255,0100,10.11.2021,10.11.2021
00000255,0100,09.11.2021,09.11.2021
00000255,0100,02.11.2021,02.11.2021
00000255,0500,30.10.2021,30.10.2021
00000255,0500,24.10.2021,24.10.2021
00000255,0500,31.10.2021,31.10.2021
00000255,0500,14.11.2021,14.11.2021
00000255,0500,13.11.2021,13.11.2021
00000255,0500,07.11.2021,07.11.2021
00000258,0500,24.10.2021,24.10.2021
00000258,0500,30.10.2021,30.10.2021
00000258,0500,31.10.2021,31.10.2021
00000258,0100,05.11.2021,05.11.2021
00000258,0300,23.10.2021,23.10.2021
00000258,0500,07.11.2021,07.11.2021
00000258,0500,13.11.2021,13.11.2021
00000258,0500,14.11.2021,14.11.2021
00000258,0300,19.11.2021,19.11.2021
00000259,0500,31.10.2021,31.10.2021
00000259,0500,24.10.2021,24.10.2021
00000259,0500,07.11.2021,07.11.2021
00000259,0100,01.11.2021,01.11.2021
00000259,0100,09.11.2021,09.11.2021
00000259,0100,10.11.2021,10.11.2021
00000259,0100,11.11.2021,11.11.2021
00000259,0100,12.11.2021,12.11.2021
00000259,0100,13.11.2021,13.11.2021
00000259,0100,15.11.2021,15.11.2021
00000259,0100,16.11.2021,16.11.2021
00000259,0500,14.11.2021,14.11.2021
00000296,0100,03.11.2021,03.11.2021
00000296,0100,25.10.2021,25.10.2021
00000296,0500,24.10.2021,24.10.2021
00000296,0100,16.11.2021,16.11.2021
00000296,0100,18.11.2021,18.11.2021
00000296,0100,19.11.2021,19.11.2021
00000296,0100,20.11.2021,20.11.2021
00000296,0500,30.10.2021,30.10.2021
00000296,0500,31.10.2021,31.10.2021
00000296,0500,07.11.2021,07.11.2021
00000296,0500,13.11.2021,13.11.2021
00000296,0500,14.11.2021,14.11.2021
00000308,0500,23.10.2021,23.10.2021
00000308,0500,24.10.2021,24.10.2021
00000308,0500,30.10.2021,30.10.2021
00000308,0500,31.10.2021,31.10.2021
00000308,0500,06.11.2021,06.11.2021
00000308,0500,07.11.2021,07.11.2021
00000308,0500,13.11.2021,13.11.2021
00000308,0500,14.11.2021,14.11.2021
00000308,0500,20.11.2021,20.11.2021
00000433,0500,20.11.2021,20.11.2021
00000433,0500,14.11.2021,14.11.2021
00000433,0500,13.11.2021,13.11.2021
00000433,0500,07.11.2021,07.11.2021
00000433,0500,06.11.2021,06.11.2021
00000433,0200,09.11.2021,09.11.2021
00000433,0500,31.10.2021,31.10.2021
00000433,0500,30.10.2021,30.10.2021
00000433,0500,24.10.2021,24.10.2021
00000433,0500,23.10.2021,23.10.2021
00000433,0300,25.10.2021,25.10.2021
00000433,0300,26.10.2021,26.10.2021
00000434,0500,24.10.2021,24.10.2021
00000434,0500,31.10.2021,31.10.2021
00000434,0100,01.11.2021,01.11.2021
00000434,0100,08.11.2021,08.11.2021
00000434,0500,07.11.2021,07.11.2021
00000434,0500,14.11.2021,14.11.2021
00000434,0100,09.11.2021,09.11.2021
00000440,0500,31.10.2021,31.10.2021
00000440,0100,19.11.2021,19.11.2021
00000440,0500,24.10.2021,24.10.2021
00000440,0100,08.11.2021,08.11.2021
00000440,0100,09.11.2021,09.11.2021
00000440,0100,11.11.2021,11.11.2021
00000440,0100,12.11.2021,12.11.2021
00000440,0100,10.11.2021,10.11.2021
00000440,0500,14.11.2021,14.11.2021
00000440,0500,07.11.2021,07.11.2021
00000440,0100,13.11.2021,13.11.2021
00000440,0100,06.11.2021,06.11.2021
00000440,0100,22.10.2021,22.10.2021
00000440,0100,04.11.2021,04.11.2021
00000440,0100,05.11.2021,05.11.2021
00000441,0500,18.11.2021,18.11.2021
00000441,0100,14.11.2021,14.11.2021
00000441,0100,05.11.2021,05.11.2021
00000441,0500,28.10.2021,28.10.2021
00000441,0500,11.11.2021,11.11.2021
00000441,0100,25.10.2021,25.10.2021
